symbol,ts,funding_rate,collect_cycle
MEXCFTS_PERP_GIGA_USDT,2024-11-12 04:00:00,-0.000128,4
MEXCFTS_PERP_GIGA_USDT,2024-11-12 08:00:00,-0.000138,4
MEXCFTS_PERP_GIGA_USDT,2024-11-12 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-12 16:00:00,-5.8e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-12 20:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-13 00:00:00,-0.000115,4
MEXCFTS_PERP_GIGA_USDT,2024-11-13 04:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-13 08:00:00,-0.000127,4
MEXCFTS_PERP_GIGA_USDT,2024-11-13 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-13 16:00:00,-3.5e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-13 20:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-14 00:00:00,-0.000113,4
MEXCFTS_PERP_GIGA_USDT,2024-11-14 04:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-14 08:00:00,-6.8e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-14 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-14 16:00:00,-0.000132,4
MEXCFTS_PERP_GIGA_USDT,2024-11-14 20:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-15 00:00:00,0.000167,4
MEXCFTS_PERP_GIGA_USDT,2024-11-15 04:00:00,9e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-15 08:00:00,-0.000123,4
MEXCFTS_PERP_GIGA_USDT,2024-11-15 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-15 16:00:00,-0.000122,4
MEXCFTS_PERP_GIGA_USDT,2024-11-15 20:00:00,-0.000131,4
MEXCFTS_PERP_GIGA_USDT,2024-11-16 00:00:00,0.000157,4
MEXCFTS_PERP_GIGA_USDT,2024-11-16 04:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-16 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-16 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-16 16:00:00,-9e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-16 20:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-17 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-17 04:00:00,3.6e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-17 08:00:00,-0.000124,4
MEXCFTS_PERP_GIGA_USDT,2024-11-17 12:00:00,-4.2e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-17 16:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-17 20:00:00,-0.000126,4
MEXCFTS_PERP_GIGA_USDT,2024-11-18 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-18 04:00:00,-0.000136,4
MEXCFTS_PERP_GIGA_USDT,2024-11-18 08:00:00,-0.00013,4
MEXCFTS_PERP_GIGA_USDT,2024-11-18 12:00:00,0.000173,4
MEXCFTS_PERP_GIGA_USDT,2024-11-18 16:00:00,0.000198,4
MEXCFTS_PERP_GIGA_USDT,2024-11-18 20:00:00,-0.000135,4
MEXCFTS_PERP_GIGA_USDT,2024-11-19 00:00:00,4.4e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-19 04:00:00,8.9e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-19 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-19 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-19 16:00:00,-0.000133,4
MEXCFTS_PERP_GIGA_USDT,2024-11-19 20:00:00,7.6e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-20 00:00:00,-0.000125,4
MEXCFTS_PERP_GIGA_USDT,2024-11-20 04:00:00,-0.000124,4
MEXCFTS_PERP_GIGA_USDT,2024-11-20 08:00:00,-0.000135,4
MEXCFTS_PERP_GIGA_USDT,2024-11-20 12:00:00,-0.000144,4
MEXCFTS_PERP_GIGA_USDT,2024-11-20 16:00:00,0.000124,4
MEXCFTS_PERP_GIGA_USDT,2024-11-20 20:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-21 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-21 04:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-21 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-21 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-21 16:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-21 20:00:00,8.4e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-22 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-22 04:00:00,0.000178,4
MEXCFTS_PERP_GIGA_USDT,2024-11-22 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-22 12:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-22 16:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-22 20:00:00,-5.1e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-23 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-23 04:00:00,0.00016,4
MEXCFTS_PERP_GIGA_USDT,2024-11-23 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-23 12:00:00,-0.000123,4
MEXCFTS_PERP_GIGA_USDT,2024-11-23 16:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-23 20:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-24 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-24 04:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-24 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-24 12:00:00,6.2e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-24 16:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-24 20:00:00,3.9e-05,4
MEXCFTS_PERP_GIGA_USDT,2024-11-25 00:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-25 04:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-25 08:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-25 12:00:00,-0.00012,4
MEXCFTS_PERP_GIGA_USDT,2024-11-25 16:00:00,0.0002,4
MEXCFTS_PERP_GIGA_USDT,2024-11-25 20:00:00,-0.000115,4
