ts_start,MEXCFTS_PERP_GIGA_USDT,MEXCFTS_PERP_SPX_USDT
2024-11-15 00:00:00,0.046537006403415154,0.6656537109901364
2024-11-15 00:05:00,0.046738475559237776,0.6769323570061664
2024-11-15 00:10:00,0.046972346394837744,0.6823657358865405
2024-11-15 00:15:00,0.046907271226847604,0.6712270375521558
2024-11-15 00:20:00,0.04690073453093813,0.6838746909564086
2024-11-15 00:25:00,0.04693086949348292,0.6811728861788618
2024-11-15 00:30:00,0.04697245513800595,0.6825491782553731
2024-11-15 00:35:00,0.04707712654879576,0.6867274728500147
2024-11-15 00:40:00,0.04763518912420235,0.6874088427947599
2024-11-15 00:45:00,0.04764054495912807,0.678762157703728
2024-11-15 00:50:00,0.047663782991202344,0.67811150230046
2024-11-15 00:55:00,0.047167341275213215,0.6750351031764433
2024-11-15 01:00:00,0.04715686552072801,0.6717837086558761
2024-11-15 01:05:00,0.048161866071428576,0.6758879720678352
2024-11-15 01:10:00,0.048849372674569534,0.6761212193664077
2024-11-15 01:15:00,0.04887963407318536,0.6692104535285743
2024-11-15 01:20:00,0.04909091066782307,0.6697494037478705
2024-11-15 01:25:00,0.049237356651376143,0.6698544353093898
2024-11-15 01:30:00,0.049063068220541135,0.6710750788880542
2024-11-15 01:35:00,0.0492602219735124,0.6672119100499723
2024-11-15 01:40:00,0.04889223480723154,0.6758417679558011
2024-11-15 01:45:00,0.04900355990921037,0.6828888682745825
2024-11-15 01:50:00,0.049584181295249434,0.6839218838526911
2024-11-15 01:55:00,0.049150764384323184,0.6793461046292812
2024-11-15 02:00:00,0.04925827882638759,0.6841515298776097
2024-11-15 02:05:00,0.04885969015196368,0.6845340593520283
2024-11-15 02:10:00,0.0489911368381097,0.6899944985394353
2024-11-15 02:15:00,0.0489322035382729,0.6957544335414809
2024-11-15 02:20:00,0.048948157533523384,0.687016789603091
2024-11-15 02:25:00,0.048758509316770185,0.6860483644859814
2024-11-15 02:30:00,0.0487746552089964,0.6964385045067919
2024-11-15 02:35:00,0.048810015467904096,0.7009592981186685
2024-11-15 02:40:00,0.04887026409576898,0.7062660670879922
2024-11-15 02:45:00,0.04883585853705672,0.6976628801843318
2024-11-15 02:50:00,0.04882428990364474,0.6957730127723516
2024-11-15 02:55:00,0.048731899010233184,0.7071332531776022
2024-11-15 03:00:00,0.04885096589789079,0.7037963491397399
2024-11-15 03:05:00,0.04882377562944863,0.7023815222375057
2024-11-15 03:10:00,0.04882613301942319,0.697554606156632
2024-11-15 03:15:00,0.04911759014224281,0.6971920480813686
2024-11-15 03:20:00,0.048550687907313546,0.7002344328508919
2024-11-15 03:25:00,0.04868894889904445,0.7050079002941398
2024-11-15 03:30:00,0.04869351259496202,0.7028090725806452
2024-11-15 03:35:00,0.048544333818100464,0.6994235985312118
2024-11-15 03:40:00,0.04853672500465462,0.7035097529921058
2024-11-15 03:45:00,0.04924906524926686,0.7151830278343516
2024-11-15 03:50:00,0.049343912757356403,0.7216086773378264
2024-11-15 03:55:00,0.049401542767424395,0.7255582944420873
2024-11-15 04:00:00,0.04922251324908276,0.7227484612532443
2024-11-15 04:05:00,0.049083568075117365,0.7253074565883555
2024-11-15 04:10:00,0.048450870659285356,0.7431391995614035
2024-11-15 04:15:00,0.048750325767129045,0.7364271929824561
2024-11-15 04:20:00,0.048726889370932745,0.7335727627543909
2024-11-15 04:25:00,0.0478514534883721,0.7437911126420944
2024-11-15 04:30:00,0.04793711362182903,0.734472524837273
2024-11-15 04:35:00,0.04773208417169684,0.7348453053528405
2024-11-15 04:40:00,0.04774432130147433,0.7141563248308173
2024-11-15 04:45:00,0.0479002664260238,0.7134919282511212
2024-11-15 04:50:00,0.04693042243521476,0.689966596180956
2024-11-15 04:55:00,0.04693052385133158,0.6893288586143879
2024-11-15 05:00:00,0.04737078988125969,0.6921589983489268
2024-11-15 05:05:00,0.04754193193429222,0.7037350615795366
2024-11-15 05:10:00,0.04738184523809524,0.7047797415431396
2024-11-15 05:15:00,0.04742081676906397,0.7019626377952757
2024-11-15 05:20:00,0.047592497879044966,0.6936066844523493
2024-11-15 05:25:00,0.04756470422004522,0.6990828573526172
2024-11-15 05:30:00,0.04783951596905376,0.7101197505622572
2024-11-15 05:35:00,0.047857815365803955,0.7110448413832523
2024-11-15 05:40:00,0.04766239185750636,0.714104581037982
2024-11-15 05:45:00,0.047874830050549065,0.7117624723206378
2024-11-15 05:50:00,0.047902606147021555,0.7065902369397659
2024-11-15 05:55:00,0.048035118470888746,0.7072479648671808
2024-11-15 06:00:00,0.04805670748808077,0.7069483333333333
2024-11-15 06:05:00,0.04806610280297458,0.7129636458988883
2024-11-15 06:10:00,0.04803313989637306,0.7164949887808526
2024-11-15 06:15:00,0.04828638810561395,0.7202054844097996
2024-11-15 06:20:00,0.04819649155722326,0.7165772813833028
2024-11-15 06:25:00,0.048111517553793885,0.7184842870999031
2024-11-15 06:30:00,0.0480623358348968,0.7153557121879589
2024-11-15 06:35:00,0.04810834052654295,0.7058461176997092
2024-11-15 06:40:00,0.047925231187669996,0.7196024729520866
2024-11-15 06:45:00,0.04795762341266504,0.7094993511759936
2024-11-15 06:50:00,0.04811771330750518,0.7202984305892425
2024-11-15 06:55:00,0.0483781305713558,0.7187956219596943
2024-11-15 07:00:00,0.0486809256933037,0.7107065530303031
2024-11-15 07:05:00,0.04865188538453885,0.7106252893270467
2024-11-15 07:10:00,0.04864179433079534,0.7051469756621331
2024-11-15 07:15:00,0.048662008641584986,0.7011345943837753
2024-11-15 07:20:00,0.048660427341109785,0.6988853230890465
