ASSET_Y_COL,ASSET_X_COL,OLS_WINDOW_DAYS,ZSCORE_WINDOW_DAYS,BETA_P_VALUE_THRESHOLD,MIN_OLS_R_SQUARED_THRESHOLD,ENTRY_ZSCORE,EXIT_ZSCORE,STOP_LOSS_ZSCORE,POSITION_SIZE_PCT,MIN_NOMINAL_PER_LEG,TAKER_FEE_PCT,SLIPPAGE_PCT,SL_COOLDOWN_HOURS,PNL_STOP_LOSS_PCT,INITIAL_CAPITAL,RISK_FREE_RATE_ANNUAL,RESAMPLE_ALL_DATA_TO_MINUTES,DEFAULT_DATA_FREQ_MINUTES,BETA_MIN_THRESHOLD,BETA_MAX_THRESHOLD,BETA_ROLL_STD_MAX,TRAIL_STOP_PCT,Initial Equity,Final Equity,Total Return (%),CAGR (%),Max Drawdown (%),"Sharpe Ratio (Annualized, Daily Ret)","Sortino Ratio (Annualized, Daily Ret)",Calmar Ratio,Number of Trades,Win Rate (%),Average Win ($),Average Loss ($),Profit Factor,Total Fees Paid ($)
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,3,3,0.05,0.6,2.25,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1646.637881427849,-17.66810592860756,-86.85099519822276,-9.731877572798354,-3.4829072472904605,-4.3619138243623645,-8.924382222088434,38,42.10526315789473,15.593247105189075,-27.40245782978076,0.41385132018718446,13.868138694779722
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,3,3,0.05,0.6,2.25,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1662.0468503044121,-16.897657484779394,-85.50871120673744,-8.692248899669918,-3.22527792531629,-2.923557965683008,-9.837351897503138,38,42.10526315789473,12.95014037078651,-24.779790710371483,0.38007923537806826,13.913040297916726
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,1.5,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1269.3349893908985,-36.53325053045508,-99.13018049462983,-11.280368202819247,-3.286690349373903,-2.7214801516458387,-8.787849714857243,41,39.02439024390244,8.022724080159822,-34.36114383566633,0.14942876860731016,13.396519685588139
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,1.5,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1235.8388457089743,-38.20805771455128,-99.34200213655477,-11.55774010976166,-3.776649090734408,-3.152691460509631,-8.595279111065196,45,24.444444444444443,8.07074856696648,-25.086452603754623,0.10408504453039757,14.66886793126089
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,1.5,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1200.0039665328893,-39.99980167335554,-99.51597831949776,-11.83802946599003,-4.2348545971302025,-3.562456154804179,-8.406464826380216,54,18.51851851851852,6.125593397926719,-19.57390835105406,0.07112428916811847,17.132955888658007
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,1.75,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1351.740559054889,-32.41297204725555,-98.32311791732312,-10.341789120027943,-2.8116162405982155,-2.3398953288417306,-9.507360552045123,36,41.66666666666667,8.077127162767201,-36.63887373269616,0.15746599054667945,11.936667623505326
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,1.75,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1339.6059050632655,-33.01970474683673,-98.47372348205377,-10.613522398086827,-3.289869892161912,-2.7535055817550744,-9.278137812174819,38,23.684210526315788,8.941942816721031,-25.54729587197322,0.10862541834752187,12.661367358420618
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,1.75,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1362.4117035058891,-31.87941482470554,-98.1797094926687,-10.457005419114962,-3.590592022838279,-3.0120984180112433,-9.38889343149812,42,23.809523809523807,7.095861070111754,-22.142090849850877,0.1001466663399973,13.985827751660855
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,2.0,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1417.1374545005099,-29.1431272749745,-97.2544516287624,-9.762156658688415,-2.714391112426408,-2.2816448376264247,-9.962394072236588,29,41.37931034482759,10.520545075012677,-41.712299199978986,0.17803542969833214,10.054334757862852
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,2.0,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1453.382868035801,-27.33085659820995,-96.42654233586215,-10.05762624545824,-2.958034383867365,-2.5348367276669794,-9.587405614660403,29,27.586206896551722,11.466473031869192,-30.397567439007258,0.1437016370267651,10.267599750749858
